Symbol,Zone_Name,Price,Strength,Touches,LastTouch,AvgVolume,Type,Date_Created
NIFTY,SWING_H_5,26104.2,0.39,14,08-01-2026,287978,Swing_High,16-01-2026 11:01
NIFTY,SWING_H_4,25669.35,0.35,10,14-01-2026,304830,Swing_High,16-01-2026 11:01
NIFTY,ZONE_25693,25693.25,0.32,10,16-01-2026,261150,Support_Resistance,16-01-2026 11:01
NIFTY,SWING_H_2,25134.95,0.23,26,14-10-2025,294250,Swing_High,16-01-2026 11:01
NIFTY,SWING_L_4,24587.7,0.2,22,30-09-2025,330536,Swing_Low,16-01-2026 11:01
NIFTY,SWING_H_3,25448.95,0.11,11,07-11-2025,276490,Swing_High,16-01-2026 11:01
NIFTY,SWING_L_3,24405.07,0.09,11,29-08-2025,361700,Swing_Low,16-01-2026 11:01
NIFTY,SWING_L_5,25318.45,0.09,8,07-11-2025,301387,Swing_Low,16-01-2026 11:01
NIFTY,ZONE_26325,26325.8,0.08,3,05-01-2026,303366,Support_Resistance,16-01-2026 11:01
NIFTY,SWING_H_1,23838.45,0.01,2,17-04-2025,421750,Swing_High,16-01-2026 11:01
NIFTY,SWING_L_2,21964.6,0.01,2,07-04-2025,450200,Swing_Low,16-01-2026 11:01
